Soudan,62.13,55.576443
Sénégal,38.64,37.386593
Singapour,0.92,6.0257225
Îles Salomon,49.01,44.02081
Sierra Leone,75.07,69.18338
El Salvador,23.7,20.158037
Saint-Marin,29.722350230414747,28.806553
Somalie,95.52,86.97721
Serbie,26.01,21.985128
Soudan du Sud,33.22,29.694908
Sao Tomé-et-Principe,41.61,36.757526
Sao Tomé-et-Principe,41.61,36.757526
Suriname,14.66,14.937625
République slovaque,17.64,16.159048
Slovénie,22.4,23.336273
Suède,58.4,49.57262
Eswatini,66.01,64.275215
Eswatini,66.01,64.275215
Sint Maarten (Dutch part),0.05,3.3389418
Seychelles,1.34,5.1271944
République arabe syrienne,1.08,6.340394
République arabe syrienne,1.08,6.340394
Îles Turques-et-Caïques,0.51,3.5000498
Tchad,73.55,67.627174
Togo,76.62,69.546425
Thaïlande,20.83,23.933472
Tadjikistan,38.75,48.28616
Turkménistan,0.06,5.9036655
Timor-Leste,11.42,24.777342
Tonga,1.89,1.805563
Trinité-et-Tobago,0.47,3.2550282
Tunisie,12.88,14.710103
Turquie,13.72,13.846225
Tuvalu,6.67,9.45791
Tanzanie,83.95,78.28155
Tanzanie,83.95,78.28155
Ouganda,92.91,83.4784
Ukraine,8.72,9.738219
Uruguay,61.09,50.705307
États-Unis,11.16,11.169421
États-Unis,11.16,11.169421
Ouzbékistan,1.03,6.983357
Saint-Vincent-et-les Grenadines,4.9,5.773614
Venezuela,23.33,15.3278265
Îles Vierges britanniques,1.42,3.9233668
Îles Vierges (EU),5.13,6.274502
Viet Nam,19.11,26.508955
Viet Nam,19.11,26.508955
Vanuatu,26.03,36.24537
Samoa,37.54,32.29598
Yémen,29.722350230414747,6.408995
Afrique du Sud,9.76,8.304165
Zambie,81.84,76.68765
Zimbabwe,84.36,75.203575
